t0; p1, -0.5, 0, 0; p2, 0.5, 0, 0; p3, 0, 0, 0
t11.686; p1, 0.174015, -0.34669, 0; p2, -0.174015, 0.34669, 0; p3, 0, 0, 0
t11.687; p1, 0.173257, -0.347211, 0; p2, -0.173257, 0.347211, 0; p3, 0, 0, 0
t11.688; p1, 0.172498, -0.347731, 0; p2, -0.172498, 0.347731, 0; p3, 0, 0, 0
t11.689; p1, 0.171738, -0.348248, 0; p2, -0.171738, 0.348248, 0; p3, 0, 0, 0
t11.69; p1, 0.170977, -0.348764, 0; p2, -0.170977, 0.348764, 0; p3, 0, 0, 0
t11.691; p1, 0.170215, -0.349278, 0; p2, -0.170215, 0.349278, 0; p3, 0, 0, 0
t11.692; p1, 0.169452, -0.34979, 0; p2, -0.169452, 0.34979, 0; p3, 0, 0, 0
t11.693; p1, 0.168689, -0.350301, 0; p2, -0.168689, 0.350301, 0; p3, 0, 0, 0
t11.694; p1, 0.167925, -0.35081, 0; p2, -0.167925, 0.35081, 0; p3, 0, 0, 0
t11.695; p1, 0.167159, -0.351316, 0; p2, -0.167159, 0.351316, 0; p3, 0, 0, 0
t11.696; p1, 0.166393, -0.351822, 0; p2, -0.166393, 0.351822, 0; p3, 0, 0, 0
t11.697; p1, 0.165626, -0.352325, 0; p2, -0.165626, 0.352325, 0; p3, 0, 0, 0
t11.698; p1, 0.164859, -0.352826, 0; p2, -0.164859, 0.352826, 0; p3, 0, 0, 0
t11.699; p1, 0.16409, -0.353326, 0; p2, -0.16409, 0.353326, 0; p3, 0, 0, 0
t11.7; p1, 0.163321, -0.353824, 0; p2, -0.163321, 0.353824, 0; p3, 0, 0, 0
t11.701; p1, 0.162551, -0.35432, 0; p2, -0.162551, 0.35432, 0; p3, 0, 0, 0
t11.702; p1, 0.161779, -0.354815, 0; p2, -0.161779, 0.354815, 0; p3, 0, 0, 0
t11.703; p1, 0.161008, -0.355307, 0; p2, -0.161008, 0.355307, 0; p3, 0, 0, 0
t11.704; p1, 0.160235, -0.355798, 0; p2, -0.160235, 0.355798, 0; p3, 0, 0, 0
t11.705; p1, 0.159461, -0.356287, 0; p2, -0.159461, 0.356287, 0; p3, 0, 0, 0
t11.706; p1, 0.158687, -0.356774, 0; p2, -0.158687, 0.356774, 0; p3, 0, 0, 0
t11.707; p1, 0.157912, -0.357259, 0; p2, -0.157912, 0.357259, 0; p3, 0, 0, 0
t11.708; p1, 0.157136, -0.357743, 0; p2, -0.157136, 0.357743, 0; p3, 0, 0, 0
t11.709; p1, 0.156359, -0.358225, 0; p2, -0.156359, 0.358225, 0; p3, 0, 0, 0
t11.71; p1, 0.155582, -0.358705, 0; p2, -0.155582, 0.358705, 0; p3, 0, 0, 0
t11.711; p1, 0.154804, -0.359183, 0; p2, -0.154804, 0.359183, 0; p3, 0, 0, 0
t11.712; p1, 0.154025, -0.359659, 0; p2, -0.154025, 0.359659, 0; p3, 0, 0, 0
t11.713; p1, 0.153245, -0.360134, 0; p2, -0.153245, 0.360134, 0; p3, 0, 0, 0
t11.714; p1, 0.152464, -0.360606, 0; p2, -0.152464, 0.360606, 0; p3, 0, 0, 0
t11.715; p1, 0.151683, -0.361077, 0; p2, -0.151683, 0.361077, 0; p3, 0, 0, 0
t11.716; p1, 0.150901, -0.361547, 0; p2, -0.150901, 0.361547, 0; p3, 0, 0, 0
t11.717; p1, 0.150118, -0.362014, 0; p2, -0.150118, 0.362014, 0; p3, 0, 0, 0
t11.718; p1, 0.149335, -0.362479, 0; p2, -0.149335, 0.362479, 0; p3, 0, 0, 0
t11.719; p1, 0.14855, -0.362943, 0; p2, -0.14855, 0.362943, 0; p3, 0, 0, 0
t11.72; p1, 0.147765, -0.363405, 0; p2, -0.147765, 0.363405, 0; p3, 0, 0, 0
t11.721; p1, 0.146979, -0.363865, 0; p2, -0.146979, 0.363865, 0; p3, 0, 0, 0
t11.722; p1, 0.146193, -0.364324, 0; p2, -0.146193, 0.364324, 0; p3, 0, 0, 0
t11.723; p1, 0.145406, -0.36478, 0; p2, -0.145406, 0.36478, 0; p3, 0, 0, 0
t11.724; p1, 0.144618, -0.365235, 0; p2, -0.144618, 0.365235, 0; p3, 0, 0, 0
t11.725; p1, 0.143829, -0.365688, 0; p2, -0.143829, 0.365688, 0; p3, 0, 0, 0
t11.726; p1, 0.14304, -0.366139, 0; p2, -0.14304, 0.366139, 0; p3, 0, 0, 0
t11.727; p1, 0.142249, -0.366588, 0; p2, -0.142249, 0.366588, 0; p3, 0, 0, 0
t11.728; p1, 0.141459, -0.367036, 0; p2, -0.141459, 0.367036, 0; p3, 0, 0, 0
t11.729; p1, 0.140667, -0.367481, 0; p2, -0.140667, 0.367481, 0; p3, 0, 0, 0
t11.73; p1, 0.139875, -0.367925, 0; p2, -0.139875, 0.367925, 0; p3, 0, 0, 0
t11.731; p1, 0.139082, -0.368367, 0; p2, -0.139082, 0.368367, 0; p3, 0, 0, 0
t11.732; p1, 0.138289, -0.368807, 0; p2, -0.138289, 0.368807, 0; p3, 0, 0, 0
t11.733; p1, 0.137494, -0.369246, 0; p2, -0.137494, 0.369246, 0; p3, 0, 0, 0
t11.734; p1, 0.136699, -0.369682, 0; p2, -0.136699, 0.369682, 0; p3, 0, 0, 0
t11.735; p1, 0.135904, -0.370117, 0; p2, -0.135904, 0.370117, 0; p3, 0, 0, 0
t11.736; p1, 0.135108, -0.37055, 0; p2, -0.135108, 0.37055, 0; p3, 0, 0, 0
t11.737; p1, 0.134311, -0.370981, 0; p2, -0.134311, 0.370981, 0; p3, 0, 0, 0
t11.738; p1, 0.133513, -0.371411, 0; p2, -0.133513, 0.371411, 0; p3, 0, 0, 0
t11.739; p1, 0.132715, -0.371838, 0; p2, -0.132715, 0.371838, 0; p3, 0, 0, 0
t11.74; p1, 0.131916, -0.372264, 0; p2, -0.131916, 0.372264, 0; p3, 0, 0, 0
t11.741; p1, 0.131116, -0.372688, 0; p2, -0.131116, 0.372688, 0; p3, 0, 0, 0
t11.742; p1, 0.130316, -0.37311, 0; p2, -0.130316, 0.37311, 0; p3, 0, 0, 0
t11.743; p1, 0.129515, -0.37353, 0; p2, -0.129515, 0.37353, 0; p3, 0, 0, 0
t11.744; p1, 0.128714, -0.373949, 0; p2, -0.128714, 0.373949, 0; p3, 0, 0, 0
t11.745; p1, 0.127912, -0.374366, 0; p2, -0.127912, 0.374366, 0; p3, 0, 0, 0
t11.746; p1, 0.127109, -0.37478, 0; p2, -0.127109, 0.37478, 0; p3, 0, 0, 0
t11.747; p1, 0.126306, -0.375193, 0; p2, -0.126306, 0.375193, 0; p3, 0, 0, 0
t11.748; p1, 0.125502, -0.375605, 0; p2, -0.125502, 0.375605, 0; p3, 0, 0, 0
t11.749; p1, 0.124698, -0.376014, 0; p2, -0.124698, 0.376014, 0; p3, 0, 0, 0
t11.75; p1, 0.123893, -0.376422, 0; p2, -0.123893, 0.376422, 0; p3, 0, 0, 0
t11.751; p1, 0.123087, -0.376828, 0; p2, -0.123087, 0.376828, 0; p3, 0, 0, 0
t11.752; p1, 0.122281, -0.377232, 0; p2, -0.122281, 0.377232, 0; p3, 0, 0, 0
t11.753; p1, 0.121474, -0.377634, 0; p2, -0.121474, 0.377634, 0; p3, 0, 0, 0
t11.754; p1, 0.120666, -0.378034, 0; p2, -0.120666, 0.378034, 0; p3, 0, 0, 0
t11.755; p1, 0.119858, -0.378433, 0; p2, -0.119858, 0.378433, 0; p3, 0, 0, 0
t11.756; p1, 0.11905, -0.378829, 0; p2, -0.11905, 0.378829, 0; p3, 0, 0, 0
t11.757; p1, 0.118241, -0.379224, 0; p2, -0.118241, 0.379224, 0; p3, 0, 0, 0
t11.758; p1, 0.117431, -0.379617, 0; p2, -0.117431, 0.379617, 0; p3, 0, 0, 0
t11.759; p1, 0.11662, -0.380009, 0; p2, -0.11662, 0.380009, 0; p3, 0, 0, 0
t11.76; p1, 0.11581, -0.380398, 0; p2, -0.11581, 0.380398, 0; p3, 0, 0, 0
t11.761; p1, 0.114998, -0.380786, 0; p2, -0.114998, 0.380786, 0; p3, 0, 0, 0
t11.762; p1, 0.114186, -0.381171, 0; p2, -0.114186, 0.381171, 0; p3, 0, 0, 0
t11.763; p1, 0.113374, -0.381555, 0; p2, -0.113374, 0.381555, 0; p3, 0, 0, 0
t11.764; p1, 0.112561, -0.381938, 0; p2, -0.112561, 0.381938, 0; p3, 0, 0, 0
t11.765; p1, 0.111747, -0.382318, 0; p2, -0.111747, 0.382318, 0; p3, 0, 0, 0
t11.766; p1, 0.110933, -0.382697, 0; p2, -0.110933, 0.382697, 0; p3, 0, 0, 0
t11.767; p1, 0.110118, -0.383073, 0; p2, -0.110118, 0.383073, 0; p3, 0, 0, 0
t11.768; p1, 0.109303, -0.383448, 0; p2, -0.109303, 0.383448, 0; p3, 0, 0, 0
t11.769; p1, 0.108488, -0.383821, 0; p2, -0.108488, 0.383821, 0; p3, 0, 0, 0
t11.77; p1, 0.107671, -0.384193, 0; p2, -0.107671, 0.384193, 0; p3, 0, 0, 0
t11.771; p1, 0.106855, -0.384562, 0; p2, -0.106855, 0.384562, 0; p3, 0, 0, 0
t11.772; p1, 0.106037, -0.38493, 0; p2, -0.106037, 0.38493, 0; p3, 0, 0, 0
t11.773; p1, 0.10522, -0.385296, 0; p2, -0.10522, 0.385296, 0; p3, 0, 0, 0
t11.774; p1, 0.104402, -0.38566, 0; p2, -0.104402, 0.38566, 0; p3, 0, 0, 0
t11.775; p1, 0.103583, -0.386022, 0; p2, -0.103583, 0.386022, 0; p3, 0, 0, 0
t11.776; p1, 0.102764, -0.386383, 0; p2, -0.102764, 0.386383, 0; p3, 0, 0, 0
t11.777; p1, 0.101944, -0.386741, 0; p2, -0.101944, 0.386741, 0; p3, 0, 0, 0
t11.778; p1, 0.101124, -0.387098, 0; p2, -0.101124, 0.387098, 0; p3, 0, 0, 0
t11.779; p1, 0.100303, -0.387453, 0; p2, -0.100303, 0.387453, 0; p3, 0, 0, 0
t11.78; p1, 0.0994822, -0.387806, 0; p2, -0.0994822, 0.387806, 0; p3, 0, 0, 0
t11.781; p1, 0.0986606, -0.388157, 0; p2, -0.0986606, 0.388157, 0; p3, 0, 0, 0
t11.782; p1, 0.0978386, -0.388507, 0; p2, -0.0978386, 0.388507, 0; p3, 0, 0, 0
t11.783; p1, 0.0970162, -0.388855, 0; p2, -0.0970162, 0.388855, 0; p3, 0, 0, 0
t11.784; p1, 0.0961932, -0.389201, 0; p2, -0.0961932, 0.389201, 0; p3, 0, 0, 0
t11.785; p1, 0.0953699, -0.389545, 0; p2, -0.0953699, 0.389545, 0; p3, 0, 0, 0
t11.786; p1, 0.0945461, -0.389887, 0; p2, -0.0945461, 0.389887, 0; p3, 0, 0, 0
t11.787; p1, 0.0937218, -0.390228, 0; p2, -0.0937218, 0.390228, 0; p3, 0, 0, 0
t11.788; p1, 0.0928972, -0.390566, 0; p2, -0.0928972, 0.390566, 0; p3, 0, 0, 0
t11.789; p1, 0.092072, -0.390903, 0; p2, -0.092072, 0.390903, 0; p3, 0, 0, 0
t11.79; p1, 0.0912465, -0.391238, 0; p2, -0.0912465, 0.391238, 0; p3, 0, 0, 0
t11.791; p1, 0.0904206, -0.391571, 0; p2, -0.0904206, 0.391571, 0; p3, 0, 0, 0
t11.792; p1, 0.0895942, -0.391903, 0; p2, -0.0895942, 0.391903, 0; p3, 0, 0, 0
t11.793; p1, 0.0887674, -0.392232, 0; p2, -0.0887674, 0.392232, 0; p3, 0, 0, 0
t11.794; p1, 0.0879402, -0.39256, 0; p2, -0.0879402, 0.39256, 0; p3, 0, 0, 0
t11.795; p1, 0.0871126, -0.392886, 0; p2, -0.0871126, 0.392886, 0; p3, 0, 0, 0
t11.796; p1, 0.0862846, -0.39321, 0; p2, -0.0862846, 0.39321, 0; p3, 0, 0, 0
t11.797; p1, 0.0854562, -0.393533, 0; p2, -0.0854562, 0.393533, 0; p3, 0, 0, 0
t11.798; p1, 0.0846274, -0.393853, 0; p2, -0.0846274, 0.393853, 0; p3, 0, 0, 0
t11.799; p1, 0.0837982, -0.394172, 0; p2, -0.0837982, 0.394172, 0; p3, 0, 0, 0
t11.8; p1, 0.0829686, -0.394489, 0; p2, -0.0829686, 0.394489, 0; p3, 0, 0, 0
t11.801; p1, 0.0821387, -0.394804, 0; p2, -0.0821387, 0.394804, 0; p3, 0, 0, 0
t11.802; p1, 0.0813084, -0.395118, 0; p2, -0.0813084, 0.395118, 0; p3, 0, 0, 0
t11.803; p1, 0.0804777, -0.395429, 0; p2, -0.0804777, 0.395429, 0; p3, 0, 0, 0
t11.804; p1, 0.0796466, -0.395739, 0; p2, -0.0796466, 0.395739, 0; p3, 0, 0, 0
t11.805; p1, 0.0788152, -0.396047, 0; p2, -0.0788152, 0.396047, 0; p3, 0, 0, 0
t11.806; p1, 0.0779834, -0.396353, 0; p2, -0.0779834, 0.396353, 0; p3, 0, 0, 0
t11.807; p1, 0.0771513, -0.396657, 0; p2, -0.0771513, 0.396657, 0; p3, 0, 0, 0
t11.808; p1, 0.0763188, -0.39696, 0; p2, -0.0763188, 0.39696, 0; p3, 0, 0, 0
t11.809; p1, 0.0754859, -0.397261, 0; p2, -0.0754859, 0.397261, 0; p3, 0, 0, 0
t11.81; p1, 0.0746527, -0.397559, 0; p2, -0.0746527, 0.397559, 0; p3, 0, 0, 0
t11.811; p1, 0.0738192, -0.397857, 0; p2, -0.0738192, 0.397857, 0; p3, 0, 0, 0
t11.812; p1, 0.0729854, -0.398152, 0; p2, -0.0729854, 0.398152, 0; p3, 0, 0, 0
t11.813; p1, 0.0721512, -0.398445, 0; p2, -0.0721512, 0.398445, 0; p3, 0, 0, 0
t11.814; p1, 0.0713167, -0.398737, 0; p2, -0.0713167, 0.398737, 0; p3, 0, 0, 0
t11.815; p1, 0.0704819, -0.399027, 0; p2, -0.0704819, 0.399027, 0; p3, 0, 0, 0
t11.816; p1, 0.0696467, -0.399315, 0; p2, -0.0696467, 0.399315, 0; p3, 0, 0, 0
t11.817; p1, 0.0688112, -0.399601, 0; p2, -0.0688112, 0.399601, 0; p3, 0, 0, 0
t11.818; p1, 0.0679755, -0.399886, 0; p2, -0.0679755, 0.399886, 0; p3, 0, 0, 0
t11.819; p1, 0.0671394, -0.400169, 0; p2, -0.0671394, 0.400169, 0; p3, 0, 0, 0
t11.82; p1, 0.066303, -0.40045, 0; p2, -0.066303, 0.40045, 0; p3, 0, 0, 0
t11.821; p1, 0.0654663, -0.400729, 0; p2, -0.0654663, 0.400729, 0; p3, 0, 0, 0
t11.822; p1, 0.0646294, -0.401006, 0; p2, -0.0646294, 0.401006, 0; p3, 0, 0, 0
t11.823; p1, 0.0637921, -0.401282, 0; p2, -0.0637921, 0.401282, 0; p3, 0, 0, 0
t11.824; p1, 0.0629546, -0.401555, 0; p2, -0.0629546, 0.401555, 0; p3, 0, 0, 0
t11.825; p1, 0.0621168, -0.401827, 0; p2, -0.0621168, 0.401827, 0; p3, 0, 0, 0
t11.826; p1, 0.0612787, -0.402097, 0; p2, -0.0612787, 0.402097, 0; p3, 0, 0, 0
t11.827; p1, 0.0604403, -0.402366, 0; p2, -0.0604403, 0.402366, 0; p3, 0, 0, 0
t11.828; p1, 0.0596016, -0.402632, 0; p2, -0.0596016, 0.402632, 0; p3, 0, 0, 0
t11.829; p1, 0.0587627, -0.402897, 0; p2, -0.0587627, 0.402897, 0; p3, 0, 0, 0
t11.83; p1, 0.0579236, -0.40316, 0; p2, -0.0579236, 0.40316, 0; p3, 0, 0, 0
t11.831; p1, 0.0570841, -0.403421, 0; p2, -0.0570841, 0.403421, 0; p3, 0, 0, 0
t11.832; p1, 0.0562444, -0.403681, 0; p2, -0.0562444, 0.403681, 0; p3, 0, 0, 0
t11.833; p1, 0.0554045, -0.403938, 0; p2, -0.0554045, 0.403938, 0; p3, 0, 0, 0
t11.834; p1, 0.0545643, -0.404194, 0; p2, -0.0545643, 0.404194, 0; p3, 0, 0, 0
t11.835; p1, 0.0537239, -0.404448, 0; p2, -0.0537239, 0.404448, 0; p3, 0, 0, 0
t11.836; p1, 0.0528833, -0.404701, 0; p2, -0.0528833, 0.404701, 0; p3, 0, 0, 0
t11.837; p1, 0.0520424, -0.404951, 0; p2, -0.0520424, 0.404951, 0; p3, 0, 0, 0
t11.838; p1, 0.0512013, -0.4052, 0; p2, -0.0512013, 0.4052, 0; p3, 0, 0, 0
t11.839; p1, 0.0503599, -0.405447, 0; p2, -0.0503599, 0.405447, 0; p3, 0, 0, 0
t11.84; p1, 0.0495184, -0.405692, 0; p2, -0.0495184, 0.405692, 0; p3, 0, 0, 0
t11.841; p1, 0.0486766, -0.405935, 0; p2, -0.0486766, 0.405935, 0; p3, 0, 0, 0
t11.842; p1, 0.0478346, -0.406177, 0; p2, -0.0478346, 0.406177, 0; p3, 0, 0, 0
t11.843; p1, 0.0469924, -0.406416, 0; p2, -0.0469924, 0.406416, 0; p3, 0, 0, 0
t11.844; p1, 0.04615, -0.406654, 0; p2, -0.04615, 0.406654, 0; p3, 0, 0, 0
t11.845; p1, 0.0453074, -0.406891, 0; p2, -0.0453074, 0.406891, 0; p3, 0, 0, 0
t11.846; p1, 0.0444645, -0.407125, 0; p2, -0.0444645, 0.407125, 0; p3, 0, 0, 0
t11.847; p1, 0.0436215, -0.407358, 0; p2, -0.0436215, 0.407358, 0; p3, 0, 0, 0
t11.848; p1, 0.0427783, -0.407589, 0; p2, -0.0427783, 0.407589, 0; p3, 0, 0, 0
t11.849; p1, 0.041935, -0.407818, 0; p2, -0.041935, 0.407818, 0; p3, 0, 0, 0
t11.85; p1, 0.0410914, -0.408045, 0; p2, -0.0410914, 0.408045, 0; p3, 0, 0, 0
t11.851; p1, 0.0402476, -0.408271, 0; p2, -0.0402476, 0.408271, 0; p3, 0, 0, 0
t11.852; p1, 0.0394037, -0.408494, 0; p2, -0.0394037, 0.408494, 0; p3, 0, 0, 0
t11.853; p1, 0.0385596, -0.408716, 0; p2, -0.0385596, 0.408716, 0; p3, 0, 0, 0
t11.854; p1, 0.0377154, -0.408937, 0; p2, -0.0377154, 0.408937, 0; p3, 0, 0, 0
t11.855; p1, 0.036871, -0.409155, 0; p2, -0.036871, 0.409155, 0; p3, 0, 0, 0
t11.856; p1, 0.0360264, -0.409372, 0; p2, -0.0360264, 0.409372, 0; p3, 0, 0, 0
t11.857; p1, 0.0351817, -0.409587, 0; p2, -0.0351817, 0.409587, 0; p3, 0, 0, 0
t11.858; p1, 0.0343368, -0.4098, 0; p2, -0.0343368, 0.4098, 0; p3, 0, 0, 0
t11.859; p1, 0.0334917, -0.410011, 0; p2, -0.0334917, 0.410011, 0; p3, 0, 0, 0
t11.86; p1, 0.0326466, -0.410221, 0; p2, -0.0326466, 0.410221, 0; p3, 0, 0, 0
t11.861; p1, 0.0318012, -0.410429, 0; p2, -0.0318012, 0.410429, 0; p3, 0, 0, 0
t11.862; p1, 0.0309558, -0.410635, 0; p2, -0.0309558, 0.410635, 0; p3, 0, 0, 0
t11.863; p1, 0.0301102, -0.410839, 0; p2, -0.0301102, 0.410839, 0; p3, 0, 0, 0
t11.864; p1, 0.0292645, -0.411042, 0; p2, -0.0292645, 0.411042, 0; p3, 0, 0, 0
t11.865; p1, 0.0284186, -0.411242, 0; p2, -0.0284186, 0.411242, 0; p3, 0, 0, 0
t11.866; p1, 0.0275727, -0.411441, 0; p2, -0.0275727, 0.411441, 0; p3, 0, 0, 0
t11.867; p1, 0.0267266, -0.411639, 0; p2, -0.0267266, 0.411639, 0; p3, 0, 0, 0
t11.868; p1, 0.0258804, -0.411834, 0; p2, -0.0258804, 0.411834, 0; p3, 0, 0, 0
t11.869; p1, 0.0250341, -0.412028, 0; p2, -0.0250341, 0.412028, 0; p3, 0, 0, 0
t11.87; p1, 0.0241877, -0.41222, 0; p2, -0.0241877, 0.41222, 0; p3, 0, 0, 0
t11.871; p1, 0.0233411, -0.41241, 0; p2, -0.0233411, 0.41241, 0; p3, 0, 0, 0
t11.872; p1, 0.0224945, -0.412599, 0; p2, -0.0224945, 0.412599, 0; p3, 0, 0, 0
t11.873; p1, 0.0216478, -0.412785, 0; p2, -0.0216478, 0.412785, 0; p3, 0, 0, 0
t11.874; p1, 0.020801, -0.41297, 0; p2, -0.020801, 0.41297, 0; p3, 0, 0, 0
t11.875; p1, 0.0199541, -0.413154, 0; p2, -0.0199541, 0.413154, 0; p3, 0, 0, 0
t11.876; p1, 0.0191071, -0.413335, 0; p2, -0.0191071, 0.413335, 0; p3, 0, 0, 0
t11.877; p1, 0.0182601, -0.413515, 0; p2, -0.0182601, 0.413515, 0; p3, 0, 0, 0
t11.878; p1, 0.0174129, -0.413693, 0; p2, -0.0174129, 0.413693, 0; p3, 0, 0, 0
t11.879; p1, 0.0165657, -0.413869, 0; p2, -0.0165657, 0.413869, 0; p3, 0, 0, 0
t11.88; p1, 0.0157184, -0.414044, 0; p2, -0.0157184, 0.414044, 0; p3, 0, 0, 0
t11.881; p1, 0.0148711, -0.414216, 0; p2, -0.0148711, 0.414216, 0; p3, 0, 0, 0
t11.882; p1, 0.0140237, -0.414387, 0; p2, -0.0140237, 0.414387, 0; p3, 0, 0, 0
t11.883; p1, 0.0131762, -0.414557, 0; p2, -0.0131762, 0.414557, 0; p3, 0, 0, 0
t11.884; p1, 0.0123287, -0.414724, 0; p2, -0.0123287, 0.414724, 0; p3, 0, 0, 0
t11.885; p1, 0.0114811, -0.41489, 0; p2, -0.0114811, 0.41489, 0; p3, 0, 0, 0
t11.886; p1, 0.0106335, -0.415054, 0; p2, -0.0106335, 0.415054, 0; p3, 0, 0, 0
t11.887; p1, 0.00978583, -0.415216, 0; p2, -0.00978583, 0.415216, 0; p3, 0, 0, 0
t11.888; p1, 0.00893812, -0.415377, 0; p2, -0.00893812, 0.415377, 0; p3, 0, 0, 0
t11.889; p1, 0.00809037, -0.415536, 0; p2, -0.00809037, 0.415536, 0; p3, 0, 0, 0
t11.89; p1, 0.00724259, -0.415693, 0; p2, -0.00724259, 0.415693, 0; p3, 0, 0, 0
t11.891; p1, 0.00639478, -0.415848, 0; p2, -0.00639478, 0.415848, 0; p3, 0, 0, 0
t11.892; p1, 0.00554695, -0.416002, 0; p2, -0.00554695, 0.416002, 0; p3, 0, 0, 0
t11.893; p1, 0.00469909, -0.416153, 0; p2, -0.00469909, 0.416153, 0; p3, 0, 0, 0
t11.894; p1, 0.00385121, -0.416304, 0; p2, -0.00385121, 0.416304, 0; p3, 0, 0, 0
t11.895; p1, 0.00300331, -0.416452, 0; p2, -0.00300331, 0.416452, 0; p3, 0, 0, 0
t11.896; p1, 0.00215541, -0.416599, 0; p2, -0.00215541, 0.416599, 0; p3, 0, 0, 0
t11.897; p1, 0.00130749, -0.416744, 0; p2, -0.00130749, 0.416744, 0; p3, 0, 0, 0
t11.898; p1, 0.000459566, -0.416887, 0; p2, -0.000459566, 0.416887, 0; p3, 0, 0, 0
t11.899; p1, -0.000388358, -0.417028, 0; p2, 0.000388358, 0.417028, 0; p3, 0, 0, 0
t11.9; p1, -0.00123628, -0.417168, 0; p2, 0.00123628, 0.417168, 0; p3, 0, 0, 0
t11.901; p1, -0.0020842, -0.417306, 0; p2, 0.0020842, 0.417306, 0; p3, 0, 0, 0
t11.902; p1, -0.00293211, -0.417442, 0; p2, 0.00293211, 0.417442, 0; p3, 0, 0, 0
t11.903; p1, -0.00378, -0.417577, 0; p2, 0.00378, 0.417577, 0; p3, 0, 0, 0
t11.904; p1, -0.00462789, -0.41771, 0; p2, 0.00462789, 0.41771, 0; p3, 0, 0, 0
t11.905; p1, -0.00547575, -0.417841, 0; p2, 0.00547575, 0.417841, 0; p3, 0, 0, 0
t11.906; p1, -0.00632359, -0.41797, 0; p2, 0.00632359, 0.41797, 0; p3, 0, 0, 0
t11.907; p1, -0.0071714, -0.418098, 0; p2, 0.0071714, 0.418098, 0; p3, 0, 0, 0
t11.908; p1, -0.00801919, -0.418224, 0; p2, 0.00801919, 0.418224, 0; p3, 0, 0, 0
t11.909; p1, -0.00886694, -0.418349, 0; p2, 0.00886694, 0.418349, 0; p3, 0, 0, 0
t11.91; p1, -0.00971465, -0.418471, 0; p2, 0.00971465, 0.418471, 0; p3, 0, 0, 0
t11.911; p1, -0.0105623, -0.418592, 0; p2, 0.0105623, 0.418592, 0; p3, 0, 0, 0
t11.912; p1, -0.01141, -0.418711, 0; p2, 0.01141, 0.418711, 0; p3, 0, 0, 0
t11.913; p1, -0.0122575, -0.418829, 0; p2, 0.0122575, 0.418829, 0; p3, 0, 0, 0
t11.914; p1, -0.0131051, -0.418944, 0; p2, 0.0131051, 0.418944, 0; p3, 0, 0, 0
t11.915; p1, -0.0139526, -0.419058, 0; p2, 0.0139526, 0.419058, 0; p3, 0, 0, 0
t11.916; p1, -0.0148, -0.419171, 0; p2, 0.0148, 0.419171, 0; p3, 0, 0, 0
t11.917; p1, -0.0156474, -0.419281, 0; p2, 0.0156474, 0.419281, 0; p3, 0, 0, 0
t11.918; p1, -0.0164947, -0.41939, 0; p2, 0.0164947, 0.41939, 0; p3, 0, 0, 0
t11.919; p1, -0.0173419, -0.419497, 0; p2, 0.0173419, 0.419497, 0; p3, 0, 0, 0
t11.92; p1, -0.0181891, -0.419603, 0; p2, 0.0181891, 0.419603, 0; p3, 0, 0, 0
t11.921; p1, -0.0190361, -0.419707, 0; p2, 0.0190361, 0.419707, 0; p3, 0, 0, 0
t11.922; p1, -0.0198832, -0.419809, 0; p2, 0.0198832, 0.419809, 0; p3, 0, 0, 0
t11.923; p1, -0.0207301, -0.419909, 0; p2, 0.0207301, 0.419909, 0; p3, 0, 0, 0
t11.924; p1, -0.0215769, -0.420008, 0; p2, 0.0215769, 0.420008, 0; p3, 0, 0, 0
t11.925; p1, -0.0224237, -0.420105, 0; p2, 0.0224237, 0.420105, 0; p3, 0, 0, 0
t11.926; p1, -0.0232704, -0.4202, 0; p2, 0.0232704, 0.4202, 0; p3, 0, 0, 0
t11.927; p1, -0.024117, -0.420294, 0; p2, 0.024117, 0.420294, 0; p3, 0, 0, 0
t11.928; p1, -0.0249634, -0.420386, 0; p2, 0.0249634, 0.420386, 0; p3, 0, 0, 0
t11.929; p1, -0.0258098, -0.420476, 0; p2, 0.0258098, 0.420476, 0; p3, 0, 0, 0
t11.93; p1, -0.0266561, -0.420565, 0; p2, 0.0266561, 0.420565, 0; p3, 0, 0, 0
t11.931; p1, -0.0275023, -0.420652, 0; p2, 0.0275023, 0.420652, 0; p3, 0, 0, 0
t11.932; p1, -0.0283483, -0.420737, 0; p2, 0.0283483, 0.420737, 0; p3, 0, 0, 0
t11.933; p1, -0.0291943, -0.420821, 0; p2, 0.0291943, 0.420821, 0; p3, 0, 0, 0
t11.934; p1, -0.0300401, -0.420902, 0; p2, 0.0300401, 0.420902, 0; p3, 0, 0, 0
t11.935; p1, -0.0308858, -0.420983, 0; p2, 0.0308858, 0.420983, 0; p3, 0, 0, 0
t11.936; p1, -0.0317314, -0.421061, 0; p2, 0.0317314, 0.421061, 0; p3, 0, 0, 0
t11.937; p1, -0.0325769, -0.421138, 0; p2, 0.0325769, 0.421138, 0; p3, 0, 0, 0
t11.938; p1, -0.0334222, -0.421213, 0; p2, 0.0334222, 0.421213, 0; p3, 0, 0, 0
t11.939; p1, -0.0342674, -0.421287, 0; p2, 0.0342674, 0.421287, 0; p3, 0, 0, 0
t11.94; p1, -0.0351125, -0.421358, 0; p2, 0.0351125, 0.421358, 0; p3, 0, 0, 0
t11.941; p1, -0.0359574, -0.421428, 0; p2, 0.0359574, 0.421428, 0; p3, 0, 0, 0
t11.942; p1, -0.0368022, -0.421497, 0; p2, 0.0368022, 0.421497, 0; p3, 0, 0, 0
